"productID","category","product_name","product_description","Unit_price","Manufacturer","weight","size","supplier_sku","customer_rating","sales_rank"
"da087fa3-5b39-41ff-a711-756239be8fd7","Awesome","Electronic Frozen Chips","The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J","497.00","Kozey and Sons","1469.15","983.93","55100f98-1b9e-4a17-96b3-853c3003b28e","1.06","8.97"
"1a9f3c62-5ca9-42f0-87c8-379c49784907","Generic","Electronic Metal Table","Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals","48.00","Howe - Simonis","445.18","945.85","94b3ad21-f3b2-4065-80b9-a0be63002859","2.89","3.15"
"c1bb3a3b-cc86-4563-b760-7fbada902ce8","Small","Elegant Steel Towels","Carbonite web goalkeeper gloves are ergonomically designed to give easy fit","539.00","Marvin - Ruecker","836.56","497.46","a2cd97fe-20c8-4f74-8ca8-6027ca242ec4","1.59","7.47"
"1a8a892b-2c85-4a71-8c90-d86ebaa56ec1","Incredible","Handcrafted Plastic Shoes","The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients","849.00","Hayes, Wunsch and Mills","1002.45","112.23","1031a08c-6aff-4e57-a6ee-1f73da466909","1.68","7.04"
"3d774895-d049-4c69-99b9-14e4e6292b5c","Elegant","Small Metal Shirt","The Football Is Good For Training And Recreational Purposes","905.00","Volkman - Dooley","1665.15","110.64","3a87705e-a493-4c77-83a5-fcc6f83c85cb","4.75","5.25"
"e94b2684-e9c4-4ba1-912c-f066a824269b","Handcrafted","Luxurious Concrete Table","New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart","444.00","Weissnat and Sons","550.44","200.29","826956eb-d538-418a-aa11-d4b099ceafd0","2.16","6.34"
"c93f7d18-3cdb-4cad-95db-68979cf6c2b9","Fantastic","Incredible Metal Pizza","The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients","682.00","Lehner, Terry and Lebsack","2018.16","562.58","185388a9-adc5-4ab5-acd0-081244910176","2.36","8.59"
"787d45c6-46a3-4cee-93b9-178a884618a8","Modern","Small Rubber Car","The Football Is Good For Training And Recreational Purposes","557.00","Kunde - Rau","2202.73","199.48","cd1ba0a4-16ff-4ea0-81dd-6a09201fba88","1.46","2.58"
"fdede80d-0958-47fe-b4b4-1b9e0b6dab93","Incredible","Incredible Steel Computer","The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality","781.00","Legros LLC","1946.41","277.90","1584f7eb-d915-4e0d-986a-4f1a62ab425f","3.60","3.23"
"e4b7e63f-f6a0-44a2-a5ef-3937894fd187","Electronic","Tasty Fresh Mouse","Carbonite web goalkeeper gloves are ergonomically designed to give easy fit","874.00","Pouros - Koepp","1275.05","730.26","148bd859-c146-4ed9-bd50-4801a2cda154","4.10","7.97"
"b6085d5b-4ebd-465f-bce0-d444e58c7d04","Unbranded","Modern Cotton Pants","The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J","529.00","Roberts, McDermott and Little","741.37","809.84","e1e2ff7e-4f26-4152-9fee-f50a680b09a1","4.99","1.91"
"b1746d78-367d-485f-aab5-4d6ba4087aff","Unbranded","Oriental Concrete Chicken","The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J","811.00","Jakubowski - Hegmann","991.54","711.27","b257c24e-ce01-44a7-aa41-551450cc5e3b","2.61","5.13"
"60dc5a16-5588-493f-aeed-3286803708ce","Elegant","Electronic Soft Chips","Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles","911.00","Kuvalis, Reynolds and Heidenreich","2009.95","515.70","8ccffe67-8069-427a-8f12-d66de160881e","3.46","6.22"
"4f5b4b1c-380e-4310-b5b6-799dab3db8c5","Refined","Generic Steel Shoes","Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals","915.00","Rippin, Prohaska and Terry","1598.53","637.05","c83514ef-cb18-4840-9e8a-d7eb0588f737","1.59","9.15"
